"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","5","The class 'Arbre' has a Cyclomatic Complexity of 7 (Highest = 24).","Code Size Rules","CyclomaticComplexity"
"2","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","9","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"4","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"6","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","11","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"8","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","12","Avoid variables with short names like x","Naming Rules","ShortVariable"
"9","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","12","Avoid variables with short names like y","Naming Rules","ShortVariable"
"10","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"11","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"12","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","12","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"13","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","13","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"14","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","14","Avoid variables with short names like ne","Naming Rules","ShortVariable"
"15","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","14","Avoid variables with short names like no","Naming Rules","ShortVariable"
"16","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","14","Avoid variables with short names like se","Naming Rules","ShortVariable"
"17","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","18","Parameter 'x' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","18","Parameter 'y' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","25","Parameter 'planete' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","25","Parameter 'x' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","25","Parameter 'y' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","50","Local variable 'listePlanete' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","52","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"24","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","52","Local variable 'planete' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","58","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"26","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","58","Local variable 'planete' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","63","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"28","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","63","Local variable 'planete' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"29","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","71","Local variable 'xAlea' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"30","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","73","Avoid excessively long variable names like xAleamaxcoordonnees","Naming Rules","LongVariable"
"31","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","80","Avoid excessively long variable names like yAleaMaxCoordonnees","Naming Rules","LongVariable"
"32","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","87","The method 'insereCorps' has a Cyclomatic Complexity of 13.","Code Size Rules","CyclomaticComplexity"
"33","tp.pmd","src/main/java/tp/pmd/Arbre.java","2","90","System.out.print is used","Java Logging Rules","SystemPrintln"
"34","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","94","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"35","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","106","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"36","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","110","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"37","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","118","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"38","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","120","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"39","tp.pmd","src/main/java/tp/pmd/Arbre.java","2","150","System.out.print is used","Java Logging Rules","SystemPrintln"
"40","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","162","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"41","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","164","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"42","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","166","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"43","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","168","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"44","tp.pmd","src/main/java/tp/pmd/Arbre.java","3","173","The method 'nouvellePosition' has a Cyclomatic Complexity of 24.","Code Size Rules","CyclomaticComplexity"
"45","tp.pmd","src/main/java/tp/pmd/Arbre.java","2","205","System.out.print is used","Java Logging Rules","SystemPrintln"
"46","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","19","Avoid variables with short names like a","Naming Rules","ShortVariable"
"47","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"48","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","19","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"49","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"50","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"51","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","23","Private field 'bouton' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"52","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","27","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"53","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","34","Local variable 'south' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"54","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","50","Avoid using short method names","Naming Rules","ShortMethodName"
"55","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","52","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"56","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","52","Avoid variables with short names like b","Naming Rules","ShortVariable"
"57","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","52","Local variable 'b' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"58","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","60","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"59","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","67","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"60","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","68","Avoid variables with short names like b","Naming Rules","ShortVariable"
